,NK,Fibro,EpiT,Mast,Macro,Granulo,DC,Tgd,TCD4,Epi,Endo,Peri,SmoothMuscle,TZBTB16,TCD8,ILC,B,Plasma,Mono,Schwann
TNFRSF9,0.281140253857588,0,0.00977375158279172,1.54722738001695,0.678584832936032,0.654804486479602,0.846949379644473,1.22551154654275,2.9842154274832,0,0,0.0227351177733658,0,0.583410390181578,2.81761438460828,0.353779220939968,0,0,0.0390450982506696,0.0319477648658235
RBP7,0,0,0,0,0.220863957545431,0.398104464700854,0.0180216575270238,0,0,0.047782738988139,3.17174791168091,0,0.0164722933578316,0,0,0,0,0,1.15993661705542,0.787661555892093
RP4-635E18.8,0,0,0.00982455109306191,0,0,0,0,0,0,0.0262896926041517,0,0,0,0.135680895522728,0,0,0,0,0,0.0499868136934234
ANGPTL7,0,0.0451534105834163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11393492834241
NPPA,0,0,0,0,0,0,0,0,0,0,0,0.0805920492870117,0.0358158010778849,0,0,0,0,0,0,0
PADI4,0,0,0.0228123182962153,0.398958789408036,0,1.10441366676946,0.131183918980716,0,0,0,0.0155172460627605,0,0,0.0383422675811996,0,0,0,0,0.166879718256689,0
PLA2G2A,0.933126436790219,1.82431330686792,4.86385958823381,0.0654066418694251,0.170390578434513,0,0.155617685686729,0.122825592856367,0,4.93909301552504,0.200470060653337,0.240126845251972,0.0890700468433409,0.468305365189062,0.196630462609171,0.428010924906183,0,0.459015233115824,0.077673066830786,0.0936673756027889
PLA2G2D,0,0,0,0,0.132389442396961,0,0.0456263126718215,0,0,0,0,0,0,0,0,0,0,0.183205633506637,0.0310697680590103,0
HSPG2,0.11780453674528,1.97087338144845,1.35316693407686,0.45545309668181,0.0818229348655729,0,0.186841033533406,0,0,1.25644231470703,10.7859785093601,1.01338187150221,2.40829328195372,0,0.210625522238783,0.472921541589754,0,0.309743929965202,0.0846053702977013,5.07127794625977
C1QA,0.146167613097046,0.196042669236593,0.368782813512947,0.261810177583779,14.1896162766405,0,5.21962691725778,0.162876006371392,0.524341531176463,0.0373037693360015,0.0239666137025577,0.0390637657214907,0,0.543416989519528,0.177812692631179,0.366394473664582,0,0.711890374182688,1.5505424200117,0
C1QC,0.183654227622593,0.012105078786036,0.243811225534052,0.207434883168424,12.5428441722162,0.654804486479602,3.54267316347031,0.122825592856367,0.538458952136625,0,0.103301176695437,0.0191718302262284,0.0182545833828967,0.397820473536557,0.114796928331056,0.341001177814292,0.376013426802033,0.532677491931922,0.694059417680276,0
C1QB,0,0.0778906594484304,0.373259022261128,0,14.0657200769579,0,4.57648114538226,0.12543080974478,0.608358494405913,0.0630380368846745,0.0359887537514193,0.0592771214420258,0.0950683844332291,0.503132890077582,0.374394942430874,0,0,1.13707911501371,0.982586747141601,0.0518569151435674
ID3,0.130653478026836,4.88142734995728,3.37739556357502,0.116073263324983,1.31852722844042,0,0.561298067101827,3.19195471989074,1.66965556657085,6.1358468560006,7.64097686019783,11.6402324258329,4.74709690756839,3.80199666170401,1.05945852761153,0.312575507025811,6.46021744536881,2.72703493545539,0.768626381528419,6.42024015040935
RHD,0,0,0.00919361739294385,0.174035669850782,0,0,0.0245831423452526,0,0,0,0,0.0309313232706814,0,0,0,0,0,0,0,0.0770452917891191
RP1-187B23.1,0.441426798967178,0.00865361118089313,0,0,0.00738502236695907,0,0.0393462409399903,1.00814010111344,0,0,0.0109307105419182,0,0,0.473022225704545,0.283669471361766,0.773617661801379,0,0,0.0342439840956281,0
STMN1,1.49118027640748,0.823881891655089,6.48895906255331,6.08592403690844,2.58134575135754,0,4.25214853820943,2.59944107005021,4.9585691976729,1.70481121117449,3.80509880197163,1.49835710319794,0.511988547369708,10.343483382639,4.4272843271541,1.49794690586626,12.4411452392358,1.63683855556386,0.448832441105363,3.28854661223543
SLC30A2,0,0,0.0239754255370159,0.349011649791839,0,0,0,0,0,0.0604396448275349,0,0,0,0,0,0,0,0,0,0
CD52,14.8609517929118,0.205984818091901,0.20550862653021,10.8193069633173,2.49676902225394,0.849350293163605,6.69246851247595,18.8639293649677,15.1833066910483,0.182210930728551,0.282716784123706,0.135881547418291,0.107904851934947,18.4538504031497,17.0694029334373,19.9672511546598,20.5931292703778,4.65358161789726,6.80662716022496,0.0911299209083635
ZNF683,2.94780218221607,0,0.0194417755881516,0,0.00537715660212003,0,0,4.5526673694902,0.573362838173172,0,0,0,0,2.04135719077876,2.54101573072939,0,0,0.221685910582196,0,0
IFI6,1.90648505337035,3.16513510681844,5.86615518273561,4.19103073204998,5.11975243942556,2.70159314113773,3.02899900463823,3.40077845811887,2.51018754569535,2.58856738025578,5.45765490925526,3.72027654899291,2.52799000917709,4.4096787182268,4.03472061122176,1.12334442629803,0.386803040743914,5.10611903775293,3.74828172813538,5.57029582765489
