,TNKILC,Strom,Epi,Mast,Myeloid,B,Plasma
CD34,0.0140421604380882,1.56025769988061,0.0255119305175743,0.106914607699496,0.00341574289645406,0,0
CAMK1G,0,0.0341241748542136,0,0.080263316148374,0.0337823416294561,0,0
RP1-28O10.1,0.0728746739771146,0.0346942227478993,0.00651168762717516,0.232790623398852,0.124889007243943,0,0.0731968617260956
G0S2,0.345034316550004,0.789039637075015,0.638195153730466,0.407428643877679,3.40819146198105,0,0.567381800417972
RD3,0,0,0.0107100624426001,0.284457955309895,0,0,0
RP11-61J19.4,0,0,0,0,0.0206220548611728,0,0
RP11-115P16.4,0.0362557680439866,0.0191170618459034,0,0,0.00810813316605745,0,0
AGT,0,0.517081262105378,0.215573719216128,0,0,0,0
RP11-443B7.3,0,0.0173095970022123,0,0.103864763979887,0.0560320736553052,0,0
RP11-385F5.5,0,0,0.0137065164310014,0,0,0,0
NLRP3,0.0973569858834291,0.0337240323155831,0.0116491546402169,0,1.53925695199387,0,0.0790131020471796
GCSAML,0,0,0,3.78842799729197,0.0141336272885562,0,0
RP11-634B7.4,0,0,0.0326809722397151,0.0424658933019862,0.0107765970440908,0,0
LYPD8,0.113658288038127,0.079503655230774,3.18999808798114,0,0.0144829492718633,0,0
FAM150B,0.0214446134158043,0.259521821863937,0,0,0,0,0
AC114810.5,0,0.0121183285487402,0,0,0,0,0
RSAD2,0.435853514419846,0.300529140221222,0.691160970131135,2.03430868493863,0.37478051213087,0.841306138605853,0.0731968617260956
AC092580.4,11.1548387099916,0.0317037650850417,0.0427109500769284,0.136754853442233,0.244341493544311,0.41322695296477,2.13584271467512
